Income,Age,Dependents,City_Tier,Housing,Healthcare & Insurance,Food,Travel,Lifestyle,Utilities & Bills,Healthcare & Insurance.1,Education,Savings & Investments,Education_Spending_Flag
50367.60508357677,35,1,3,12167.24414903059,2201.80004994864,6313.222080930132,3221.396403447025,3237.1213016503225,3996.828327587453,2178.5158473219,3160.0262993703845,4167.435187287095,1
101455.6002469913,21,0,3,22027.78146379661,4889.418087072337,14690.149362877528,7106.13000500776,7898.44339810482,8654.606098957716,4571.118216513439,0,9485.386084398324,0
106119.69276166476,53,0,2,21223.938552332955,4360.20271016577,12790.390693134332,6345.738035731931,7017.676733497925,8979.32175195852,3807.098561946348,0,12478.597716869092,0
46304.79023459725,30,1,2,9260.95804691945,2130.2548254922986,5065.627031541116,2500.0548471092625,3056.9238293834605,3864.9667172279455,1649.7575140341282,3085.991146873468,4707.076882804835,1
40518.38397137296,35,0,3,6077.757595705944,1992.0379866844128,6013.173480776837,3205.856924489416,2217.273161402562,3323.541243522051,1221.9125610733545,0,4940.049305315514,0
132028.78001915166,56,2,3,19804.317002872747,4383.83867931481,15998.747064577365,7954.561502332074,10662.88966678978,8809.578635564796,5860.840404606983,8512.724038508048,15012.384907375515,1
57929.879866986135,63,1,2,11585.975973397228,2686.8937375505566,6416.198651568763,3010.576964509224,3465.586874182477,4768.229302421046,1886.0065288323417,5289.47646452362,5646.280611000266,1
65472.71450185657,28,3,2,13094.542900371314,1739.6234319089144,7322.750029939149,4659.706070670766,4813.494615458578,5017.090227334689,2326.276459229636,5264.06765649725,6370.548933133881,1
88782.48632874028,47,0,1,26634.745898622084,3022.1064230313864,12812.864123983356,4607.540091002737,4616.932155482024,5633.798278324924,4132.203609838972,0,8196.688724536438,0
97857.52726506832,36,4,2,19571.505453013662,2470.998705198238,14635.828548897098,5794.542795902435,6147.518374074683,6178.417699508396,2988.6032049592072,9185.091958721692,9265.506157437869,1
74847.71878704197,61,4,2,14969.543757408395,1912.9855270861333,9718.605427533628,4131.4104418202805,4161.421197644306,5974.638176701597,3031.706682225904,5526.452217570703,7626.286607715305,1
173046.7661114086,23,0,2,34609.35322228172,3743.999840813316,22522.228090945293,9437.515361552612,13663.922439704584,16745.71459900122,7967.354821223066,0,19307.00332076603,0
57513.00841713571,50,2,3,8626.951262570356,1226.1398014754695,7273.593232432491,3900.743642713053,3787.0879102689314,5363.587441077774,2170.814603645735,3738.121068748065,6427.790836261152,1
133462.0263522427,47,4,2,26692.405270448544,4609.001430242951,14502.333264150297,7832.472692015563,9156.827862319516,12246.939811120534,5425.462280113523,11095.514774420732,12570.320690223309,1
43827.59835540575,30,4,3,6574.139753310862,1237.4553058396284,6434.360581949247,2376.789790495862,2851.360314409373,4056.797327908537,1791.422081121806,4035.748026350293,4340.857552206041,1
50726.08465703511,37,1,2,10145.216931407023,1455.0493573462272,5140.138217256072,2657.053090350449,3784.20845262303,4722.974187128516,1641.8337510740057,3268.218170498318,5373.417749805444,1
41738.42315779588,47,3,3,6260.763473669382,1734.845561727402,6209.739094610865,3110.274208063296,2688.407212376016,3432.61543729554,1407.5291389052732,2153.098539507096,4422.345147492302,1
136815.28997765883,37,1,3,20522.293496648825,6277.032974625688,15328.208634787925,9653.337807735745,10931.910373916831,11012.373249765822,4469.731812519857,10396.357763397078,14467.213159278315,1
95968.944408596,30,2,2,19193.7888817192,3518.9496064051323,11034.906162126794,5677.545813717985,5793.226298167143,8504.753081363024,3976.889965079378,5328.783035042589,9882.030469492429,1
44131.56622687866,28,0,2,15942.914800978782,1164.4858918806765,4775.915653204201,2407.48249484208,2862.824696748611,3317.3922082367544,1382.8783426778796,0,3683.301641492904,0
59520.23966348219,49,0,3,8928.03594952233,1791.2950377593288,7094.017700141536,3097.82363525833,4894.33190911097,5135.123627635585,1970.481462233509,0,7982.739102546182,0
40831.39559789478,24,4,2,8166.279119578956,1934.174043448924,4702.550125211104,3185.831052957408,2272.389890017527,2958.354128551059,1640.030395124624,2421.228448912969,4065.167518227663,1
45296.31105139688,43,3,2,12697.17636816546,2114.858559367884,4590.369590750496,3563.1924467591507,2569.6813586426374,2711.4793185378694,1757.294926535437,2422.130545289401,3861.038381204563,1
74414.43142584502,45,1,3,11162.164713876751,2182.5882604381577,10345.10907697956,5082.468322488127,5243.341217864101,5632.729944487793,3196.777584790548,6131.385429051674,7631.360062760491,1
64353.98071209732,38,2,3,9653.097106814595,1801.4388389578353,9473.275158464196,3927.7635837943903,3668.6442489076408,5244.946949373638,1964.0254162502936,3437.368822460008,7555.026176122417,1
191124.3445860493,26,1,2,38224.86891720988,6791.822341610832,27502.856678688742,10227.661883224637,11901.235169062697,15744.96068332052,8101.290599640998,14097.624470264476,17559.60715290799,1
51946.04241359216,60,0,2,10389.208482718434,1299.7642576207493,5206.080768068785,3191.0264177411773,2548.012320359176,5289.239907639624,2389.6223787279846,0,6489.926364214872,0
71690.47253696353,20,1,2,14338.094507392709,2629.935482791396,7512.694173380984,5590.815882858187,3874.7655580827286,5630.242698827547,2192.6055665138747,4617.891839836556,7591.028048183864,1
51669.908983933325,48,3,3,7750.486347589998,1578.4378015036073,6299.48654948975,2670.144189202592,3573.334870352178,3620.7238826310727,2433.824007304769,3594.3416096422475,6044.7389178651365,1
166726.15117408367,52,0,2,33345.230234816736,4927.971849222913,24109.88328581516,8711.622600346413,9840.713495305305,9747.678897939004,7505.1343770547965,0,20561.374930075,0
44933.66112483232,35,0,2,8986.732224966463,1758.2882977298168,5805.268962099138,3510.5902905912667,3053.06734832205,2994.514024743726,2174.464805049856,0,4995.220551399001,0
123169.41604424076,45,3,2,24633.88320884816,3395.604929921148,13313.54768657677,9097.632185415754,7334.770179081974,9465.526146252494,4329.275186572418,10008.735763825767,12477.132227323887,1
163845.2425413498,64,0,2,32769.04850826997,7858.772841521446,20945.938401491443,11481.587020038583,11985.070141582954,12624.772425152294,7183.435434583638,0,17698.985330612846,0
82659.21406649388,43,1,2,16531.842813298776,3100.027651551285,9655.610001522597,5144.771227473805,5436.557477288761,5541.995221130487,3990.469831531546,8259.469119962525,7499.541216820229,1
110733.50123801304,44,1,2,22146.70024760261,4638.167927571269,12241.45191602745,7647.552236673204,5972.974718734662,11307.70394834056,4252.935703847277,8898.512898788262,10088.250492128327,1
95032.22198815092,53,4,1,28509.66659644528,3579.7347670817862,10529.652149099506,5258.629095166119,5835.151090736559,5098.0348539240895,3137.306095265117,6602.463388013836,7944.475185725589,1
43418.26308809586,56,2,2,8683.652617619173,2093.588256403125,5857.267663113799,2777.0750046487856,2248.676605527986,3392.9821751445365,2155.697456823737,3940.407812108819,3680.67464901177,1
50952.91246728256,50,4,2,10190.582493456512,2230.906836398301,5492.463900152363,2855.2372721910674,3660.108432544716,3979.330484693667,1955.2673756300808,3760.446023446424,5048.570894630829,1
106698.89846377289,31,0,3,16004.834769565932,2271.6969397222083,15086.722748447408,6855.284668609753,6177.828569729292,9919.233614857343,3710.395711577292,0,14001.870432379095,0
48031.21667165301,35,4,2,9606.243334330602,1856.0898634378204,5368.774894749863,3048.9923259130173,3183.856322062172,3127.3341927846423,2031.3623280045272,3661.1254738417647,4844.2313809585785,1
57482.87496412906,51,3,2,11496.574992825814,2045.6435482098689,5969.419689570197,3131.2404492099763,3065.991100195246,3497.544735821476,2439.525338542906,3885.4416835872057,6585.448027849911,1
48886.1240282348,64,0,3,7332.91860423522,2369.328723427976,5385.713215561399,3283.0863225418343,2750.688867805302,3916.4005614377497,1572.077760011334,0,6682.772991964195,0
57512.65959632074,24,3,2,11502.531919264147,2297.7488167821093,5845.950761642588,3832.074500422444,3508.928683178723,5810.459914704805,2443.344396435288,5187.987780155194,5125.089847120632,1
159989.34227124733,61,3,2,31997.868454249467,3987.8367717026913,22200.59193350057,8562.916317563375,9865.576876438532,12143.514157198411,7555.064222228603,15057.03910318961,14585.680330552816,1
56516.21210093013,44,3,3,8477.43181513952,2548.2806917198805,6818.079727333656,3513.8279171591885,3272.943125274596,4304.128157726931,2030.894732635968,5521.80246042256,6008.647042055352,1
59580.3058212687,31,3,2,11916.06116425374,1978.6414668388363,6864.606619269481,4508.157331904416,4264.655309216394,3609.617963632784,2911.606048521314,5304.814840328168,5466.64352319107,1
45452.80764373308,39,2,2,9090.561528746615,1483.5818730919173,6609.130579586854,3607.174183285061,2819.885900074454,3635.5883272361066,1980.7804149806109,3117.540895162007,3932.569182470835,1
44683.129517236914,60,2,1,13404.938855171074,1725.7988595528336,5361.678111968845,2545.171662592385,2502.899562070685,2622.330104371341,2120.0219159103576,2713.4443589611974,3506.053825991458,1
64625.82136969389,60,4,2,12925.16427393878,2875.4161608410463,7690.503521767901,4792.000956143711,2810.7468173800976,6786.077669406709,2980.1618142872167,6458.107486782256,5192.292800743852,1
